ID;genero;estrato;edad;ingresos
1;F;1;1;1
2;F;1;1;2
3;F;1;1;3
4;F;1;1;4
5;F;1;1;5
6;F;1;2;1
7;F;1;2;2
8;F;1;2;3
9;F;1;2;4
10;F;1;2;5
11;F;1;3;1
12;F;1;3;2
13;F;1;3;3
14;F;1;3;4
15;F;1;3;5
16;F;1;4;1
17;F;1;4;2
18;F;1;4;3
19;F;1;4;4
20;F;1;4;5
21;F;1;5;1
22;F;1;5;2
23;F;1;5;3
24;F;1;5;4
25;F;1;5;5
26;F;1;6;1
27;F;1;6;2
28;F;1;6;3
29;F;1;6;4
30;F;1;6;5
31;F;2;1;1
32;F;2;1;2
33;F;2;1;3
34;F;2;1;4
35;F;2;1;5
36;F;2;2;1
37;F;2;2;2
38;F;2;2;3
39;F;2;2;4
40;F;2;2;5
41;F;2;3;1
42;F;2;3;2
43;F;2;3;3
44;F;2;3;4
45;F;2;3;5
46;F;2;4;1
47;F;2;4;2
48;F;2;4;3
49;F;2;4;4
50;F;2;4;5
51;F;2;5;1
52;F;2;5;2
53;F;2;5;3
54;F;2;5;4
55;F;2;5;5
56;F;2;6;1
57;F;2;6;2
58;F;2;6;3
59;F;2;6;4
60;F;2;6;5
61;F;3;1;1
62;F;3;1;2
63;F;3;1;3
64;F;3;1;4
65;F;3;1;5
66;F;3;2;1
67;F;3;2;2
68;F;3;2;3
69;F;3;2;4
70;F;3;2;5
71;F;3;3;1
72;F;3;3;2
73;F;3;3;3
74;F;3;3;4
75;F;3;3;5
76;F;3;4;1
77;F;3;4;2
78;F;3;4;3
79;F;3;4;4
80;F;3;4;5
81;F;3;5;1
82;F;3;5;2
83;F;3;5;3
84;F;3;5;4
85;F;3;5;5
86;F;3;6;1
87;F;3;6;2
88;F;3;6;3
89;F;3;6;4
90;F;3;6;5
91;F;4;1;1
92;F;4;1;2
93;F;4;1;3
94;F;4;1;4
95;F;4;1;5
96;F;4;2;1
97;F;4;2;2
98;F;4;2;3
99;F;4;2;4
100;F;4;2;5
101;F;4;3;1
102;F;4;3;2
103;F;4;3;3
104;F;4;3;4
105;F;4;3;5
106;F;4;4;1
107;F;4;4;2
108;F;4;4;3
109;F;4;4;4
110;F;4;4;5
111;F;4;5;1
112;F;4;5;2
113;F;4;5;3
114;F;4;5;4
115;F;4;5;5
116;F;4;6;1
117;F;4;6;2
118;F;4;6;3
119;F;4;6;4
120;F;4;6;5
121;F;5;1;1
122;F;5;1;2
123;F;5;1;3
124;F;5;1;4
125;F;5;1;5
126;F;5;2;1
127;F;5;2;2
128;F;5;2;3
129;F;5;2;4
130;F;5;2;5
131;F;5;3;1
132;F;5;3;2
133;F;5;3;3
134;F;5;3;4
135;F;5;3;5
136;F;5;4;1
137;F;5;4;2
138;F;5;4;3
139;F;5;4;4
140;F;5;4;5
141;F;5;5;1
142;F;5;5;2
143;F;5;5;3
144;F;5;5;4
145;F;5;5;5
146;F;5;6;1
147;F;5;6;2
148;F;5;6;3
149;F;5;6;4
150;F;5;6;5
151;F;6;1;1
152;F;6;1;2
153;F;6;1;3
154;F;6;1;4
155;F;6;1;5
156;F;6;2;1
157;F;6;2;2
158;F;6;2;3
159;F;6;2;4
160;F;6;2;5
161;F;6;3;1
162;F;6;3;2
163;F;6;3;3
164;F;6;3;4
165;F;6;3;5
166;F;6;4;1
167;F;6;4;2
168;F;6;4;3
169;F;6;4;4
170;F;6;4;5
171;F;6;5;1
172;F;6;5;2
173;F;6;5;3
174;F;6;5;4
175;F;6;5;5
176;F;6;6;1
177;F;6;6;2
178;F;6;6;3
179;F;6;6;4
180;F;6;6;5
181;M;1;1;1
182;M;1;1;2
183;M;1;1;3
184;M;1;1;4
185;M;1;1;5
186;M;1;2;1
187;M;1;2;2
188;M;1;2;3
189;M;1;2;4
190;M;1;2;5
191;M;1;3;1
192;M;1;3;2
193;M;1;3;3
194;M;1;3;4
195;M;1;3;5
196;M;1;4;1
197;M;1;4;2
198;M;1;4;3
199;M;1;4;4
200;M;1;4;5
201;M;1;5;1
202;M;1;5;2
203;M;1;5;3
204;M;1;5;4
205;M;1;5;5
206;M;1;6;1
207;M;1;6;2
208;M;1;6;3
209;M;1;6;4
210;M;1;6;5
211;M;2;1;1
212;M;2;1;2
213;M;2;1;3
214;M;2;1;4
215;M;2;1;5
216;M;2;2;1
217;M;2;2;2
218;M;2;2;3
219;M;2;2;4
220;M;2;2;5
221;M;2;3;1
222;M;2;3;2
223;M;2;3;3
224;M;2;3;4
225;M;2;3;5
226;M;2;4;1
227;M;2;4;2
228;M;2;4;3
229;M;2;4;4
230;M;2;4;5
231;M;2;5;1
232;M;2;5;2
233;M;2;5;3
234;M;2;5;4
235;M;2;5;5
236;M;2;6;1
237;M;2;6;2
238;M;2;6;3
239;M;2;6;4
240;M;2;6;5
241;M;3;1;1
242;M;3;1;2
243;M;3;1;3
244;M;3;1;4
245;M;3;1;5
246;M;3;2;1
247;M;3;2;2
248;M;3;2;3
249;M;3;2;4
250;M;3;2;5
251;M;3;3;1
252;M;3;3;2
253;M;3;3;3
254;M;3;3;4
255;M;3;3;5
256;M;3;4;1
257;M;3;4;2
258;M;3;4;3
259;M;3;4;4
260;M;3;4;5
261;M;3;5;1
262;M;3;5;2
263;M;3;5;3
264;M;3;5;4
265;M;3;5;5
266;M;3;6;1
267;M;3;6;2
268;M;3;6;3
269;M;3;6;4
270;M;3;6;5
271;M;4;1;1
272;M;4;1;2
273;M;4;1;3
274;M;4;1;4
275;M;4;1;5
276;M;4;2;1
277;M;4;2;2
278;M;4;2;3
279;M;4;2;4
280;M;4;2;5
281;M;4;3;1
282;M;4;3;2
283;M;4;3;3
284;M;4;3;4
285;M;4;3;5
286;M;4;4;1
287;M;4;4;2
288;M;4;4;3
289;M;4;4;4
290;M;4;4;5
291;M;4;5;1
292;M;4;5;2
293;M;4;5;3
294;M;4;5;4
295;M;4;5;5
296;M;4;6;1
297;M;4;6;2
298;M;4;6;3
299;M;4;6;4
300;M;4;6;5
301;M;5;1;1
302;M;5;1;2
303;M;5;1;3
304;M;5;1;4
305;M;5;1;5
306;M;5;2;1
307;M;5;2;2
308;M;5;2;3
309;M;5;2;4
310;M;5;2;5
311;M;5;3;1
312;M;5;3;2
313;M;5;3;3
314;M;5;3;4
315;M;5;3;5
316;M;5;4;1
317;M;5;4;2
318;M;5;4;3
319;M;5;4;4
320;M;5;4;5
321;M;5;5;1
322;M;5;5;2
323;M;5;5;3
324;M;5;5;4
325;M;5;5;5
326;M;5;6;1
327;M;5;6;2
328;M;5;6;3
329;M;5;6;4
330;M;5;6;5
331;M;6;1;1
332;M;6;1;2
333;M;6;1;3
334;M;6;1;4
335;M;6;1;5
336;M;6;2;1
337;M;6;2;2
338;M;6;2;3
339;M;6;2;4
340;M;6;2;5
341;M;6;3;1
342;M;6;3;2
343;M;6;3;3
344;M;6;3;4
345;M;6;3;5
346;M;6;4;1
347;M;6;4;2
348;M;6;4;3
349;M;6;4;4
350;M;6;4;5
351;M;6;5;1
352;M;6;5;2
353;M;6;5;3
354;M;6;5;4
355;M;6;5;5
356;M;6;6;1
357;M;6;6;2
358;M;6;6;3
359;M;6;6;4
360;M;6;6;5
